timestamp,host,ue_container,achieved_mbps,rtt_ms
2026-09-26 15:10:04,pc2,rfsim5g-end-ue-1,,90.00
2026-09-26 15:10:04,pc2,rfsim5g-end-ue-2,,88.10
2026-09-26 15:10:04,pc2,rfsim5g-end-ue-3,,83.70
2026-09-26 15:10:04,pc2,rfsim5g-end-ue-4,,81.50
2026-09-26 15:10:04,pc2,rfsim5g-end-ue-5,,83.80
2026-09-26 15:10:04,pc2,rfsim5g-end-ue-6,,92.40
2026-09-26 15:10:04,pc2,rfsim5g-end-ue-7,,85.40
2026-09-26 15:10:04,pc2,rfsim5g-end-ue-8,,87.90
2026-09-26 15:10:09,pc2,rfsim5g-end-ue-1,4.19,250.00
2026-09-26 15:10:09,pc2,rfsim5g-end-ue-2,,325.00
2026-09-26 15:10:09,pc2,rfsim5g-end-ue-3,,269.00
2026-09-26 15:10:09,pc2,rfsim5g-end-ue-4,,304.00
2026-09-26 15:10:09,pc2,rfsim5g-end-ue-5,,48.80
2026-09-26 15:10:09,pc2,rfsim5g-end-ue-6,,90.10
2026-09-26 15:10:09,pc2,rfsim5g-end-ue-7,,83.80
2026-09-26 15:10:09,pc2,rfsim5g-end-ue-8,,44.90
2026-09-26 15:10:15,pc2,rfsim5g-end-ue-1,3.15,20.10
2026-09-26 15:10:15,pc2,rfsim5g-end-ue-2,3.14,94.50
2026-09-26 15:10:15,pc2,rfsim5g-end-ue-3,1.05,43.90
2026-09-26 15:10:15,pc2,rfsim5g-end-ue-4,0.00,96.30
2026-09-26 15:10:15,pc2,rfsim5g-end-ue-5,1.05,220.00
2026-09-26 15:10:15,pc2,rfsim5g-end-ue-6,,319.00
2026-09-26 15:10:15,pc2,rfsim5g-end-ue-7,,278.00
2026-09-26 15:10:15,pc2,rfsim5g-end-ue-8,,275.00
2026-09-26 15:10:20,pc2,rfsim5g-end-ue-1,3.15,128.00
2026-09-26 15:10:20,pc2,rfsim5g-end-ue-2,3.15,183.00
2026-09-26 15:10:20,pc2,rfsim5g-end-ue-3,1.05,29.10
2026-09-26 15:10:20,pc2,rfsim5g-end-ue-4,1.05,27.10
2026-09-26 15:10:20,pc2,rfsim5g-end-ue-5,1.05,120.00
2026-09-26 15:10:20,pc2,rfsim5g-end-ue-6,2.10,94.90
2026-09-26 15:10:20,pc2,rfsim5g-end-ue-7,3.15,73.00
2026-09-26 15:10:20,pc2,rfsim5g-end-ue-8,1.05,80.60
2026-09-26 15:10:26,pc2,rfsim5g-end-ue-1,3.15,71.70
2026-09-26 15:10:26,pc2,rfsim5g-end-ue-2,3.16,134.00
2026-09-26 15:10:26,pc2,rfsim5g-end-ue-3,0.00,110.00
2026-09-26 15:10:26,pc2,rfsim5g-end-ue-4,1.05,135.00
2026-09-26 15:10:26,pc2,rfsim5g-end-ue-5,0.00,113.00
2026-09-26 15:10:26,pc2,rfsim5g-end-ue-6,2.09,113.00
2026-09-26 15:10:26,pc2,rfsim5g-end-ue-7,2.10,26.00
2026-09-26 15:10:26,pc2,rfsim5g-end-ue-8,2.10,103.00
2026-09-26 15:10:31,pc2,rfsim5g-end-ue-1,3.15,63.30
2026-09-26 15:10:31,pc2,rfsim5g-end-ue-2,3.15,162.00
2026-09-26 15:10:31,pc2,rfsim5g-end-ue-3,1.05,91.70
2026-09-26 15:10:31,pc2,rfsim5g-end-ue-4,0.00,88.00
2026-09-26 15:10:31,pc2,rfsim5g-end-ue-5,1.05,132.00
2026-09-26 15:10:31,pc2,rfsim5g-end-ue-6,2.10,131.00
2026-09-26 15:10:31,pc2,rfsim5g-end-ue-7,2.10,27.40
2026-09-26 15:10:31,pc2,rfsim5g-end-ue-8,2.10,56.00
