timestamp,host,ue_container,achieved_mbps,rtt_ms
2026-09-26 15:42:37,pc3,rfsim5g-end-ue-17,,148.00
2026-09-26 15:42:37,pc3,rfsim5g-end-ue-9,,93.90
2026-09-26 15:42:37,pc3,rfsim5g-end-ue-10,,87.80
2026-09-26 15:42:37,pc3,rfsim5g-end-ue-11,,89.10
2026-09-26 15:42:37,pc3,rfsim5g-end-ue-12,,92.20
2026-09-26 15:42:37,pc3,rfsim5g-end-ue-13,,80.70
2026-09-26 15:42:37,pc3,rfsim5g-end-ue-14,,88.50
2026-09-26 15:42:37,pc3,rfsim5g-end-ue-15,,85.60
2026-09-26 15:42:37,pc3,rfsim5g-end-ue-16,,89.80
2026-09-26 15:42:42,pc3,rfsim5g-end-ue-17,2.18,146.00
2026-09-26 15:42:42,pc3,rfsim5g-end-ue-9,1.37,720.00
2026-09-26 15:42:42,pc3,rfsim5g-end-ue-10,,741.00
2026-09-26 15:42:42,pc3,rfsim5g-end-ue-11,,744.00
2026-09-26 15:42:42,pc3,rfsim5g-end-ue-12,,749.00
2026-09-26 15:42:42,pc3,rfsim5g-end-ue-13,,105.00
2026-09-26 15:42:42,pc3,rfsim5g-end-ue-14,,89.20
2026-09-26 15:42:42,pc3,rfsim5g-end-ue-15,,90.60
2026-09-26 15:42:42,pc3,rfsim5g-end-ue-16,,89.50
2026-09-26 15:42:48,pc3,rfsim5g-end-ue-17,2.10,174.00
2026-09-26 15:42:48,pc3,rfsim5g-end-ue-9,3.13,72.40
2026-09-26 15:42:48,pc3,rfsim5g-end-ue-10,3.22,67.10
2026-09-26 15:42:48,pc3,rfsim5g-end-ue-11,2.28,
2026-09-26 15:42:48,pc3,rfsim5g-end-ue-12,,
2026-09-26 15:42:48,pc3,rfsim5g-end-ue-13,,215.00
2026-09-26 15:42:48,pc3,rfsim5g-end-ue-14,,269.00
2026-09-26 15:42:48,pc3,rfsim5g-end-ue-15,,95.20
2026-09-26 15:42:48,pc3,rfsim5g-end-ue-16,,98.70
2026-09-26 15:42:54,pc3,rfsim5g-end-ue-17,1.48,
2026-09-26 15:42:54,pc3,rfsim5g-end-ue-9,3.25,37.10
2026-09-26 15:42:54,pc3,rfsim5g-end-ue-10,3.23,70.80
2026-09-26 15:42:54,pc3,rfsim5g-end-ue-11,5.26,37.80
2026-09-26 15:42:54,pc3,rfsim5g-end-ue-12,1.22,64.30
2026-09-26 15:42:54,pc3,rfsim5g-end-ue-13,0.75,469.00
2026-09-26 15:42:54,pc3,rfsim5g-end-ue-14,0.63,478.00
2026-09-26 15:42:54,pc3,rfsim5g-end-ue-15,0.57,
2026-09-26 15:42:54,pc3,rfsim5g-end-ue-16,,
2026-09-26 15:43:00,pc3,rfsim5g-end-ue-17,1.61,
2026-09-26 15:43:00,pc3,rfsim5g-end-ue-9,3.19,78.00
2026-09-26 15:43:00,pc3,rfsim5g-end-ue-10,2.91,51.40
2026-09-26 15:43:00,pc3,rfsim5g-end-ue-11,3.21,85.20
2026-09-26 15:43:00,pc3,rfsim5g-end-ue-12,0.80,42.30
2026-09-26 15:43:00,pc3,rfsim5g-end-ue-13,0.80,51.50
2026-09-26 15:43:00,pc3,rfsim5g-end-ue-14,0.79,79.80
2026-09-26 15:43:00,pc3,rfsim5g-end-ue-15,3.43,613.00
2026-09-26 15:43:00,pc3,rfsim5g-end-ue-16,,724.00
2026-09-26 15:43:07,pc3,rfsim5g-end-ue-17,1.54,
2026-09-26 15:43:07,pc3,rfsim5g-end-ue-9,3.21,43.50
2026-09-26 15:43:07,pc3,rfsim5g-end-ue-10,3.20,80.30
2026-09-26 15:43:07,pc3,rfsim5g-end-ue-11,3.19,77.40
2026-09-26 15:43:07,pc3,rfsim5g-end-ue-12,0.80,43.30
2026-09-26 15:43:07,pc3,rfsim5g-end-ue-13,0.81,66.60
2026-09-26 15:43:07,pc3,rfsim5g-end-ue-14,0.80,72.40
2026-09-26 15:43:07,pc3,rfsim5g-end-ue-15,2.00,45.80
2026-09-26 15:43:07,pc3,rfsim5g-end-ue-16,1.98,88.00
2026-09-26 15:43:13,pc3,rfsim5g-end-ue-17,2.30,747.00
2026-09-26 15:43:13,pc3,rfsim5g-end-ue-9,3.22,73.70
2026-09-26 15:43:13,pc3,rfsim5g-end-ue-10,3.17,59.50
2026-09-26 15:43:13,pc3,rfsim5g-end-ue-11,3.20,57.50
2026-09-26 15:43:13,pc3,rfsim5g-end-ue-12,0.80,72.60
2026-09-26 15:43:13,pc3,rfsim5g-end-ue-13,0.80,71.30
2026-09-26 15:43:13,pc3,rfsim5g-end-ue-14,0.78,30.00
2026-09-26 15:43:13,pc3,rfsim5g-end-ue-15,2.00,68.00
2026-09-26 15:43:13,pc3,rfsim5g-end-ue-16,2.04,69.70
2026-09-26 15:43:19,pc3,rfsim5g-end-ue-17,2.38,81.30
2026-09-26 15:43:19,pc3,rfsim5g-end-ue-9,3.20,41.20
2026-09-26 15:43:19,pc3,rfsim5g-end-ue-10,3.21,58.00
2026-09-26 15:43:19,pc3,rfsim5g-end-ue-11,3.22,65.40
2026-09-26 15:43:19,pc3,rfsim5g-end-ue-12,0.82,67.40
2026-09-26 15:43:19,pc3,rfsim5g-end-ue-13,0.80,41.50
2026-09-26 15:43:19,pc3,rfsim5g-end-ue-14,0.80,81.80
2026-09-26 15:43:19,pc3,rfsim5g-end-ue-15,2.00,40.50
2026-09-26 15:43:19,pc3,rfsim5g-end-ue-16,2.04,42.60
2026-09-26 15:43:25,pc3,rfsim5g-end-ue-17,2.03,99.50
2026-09-26 15:43:25,pc3,rfsim5g-end-ue-9,3.21,42.90
2026-09-26 15:43:25,pc3,rfsim5g-end-ue-10,3.19,38.80
