timestamp,host,ue_container,achieved_mbps,rtt_ms
2026-09-26 18:25:11,pc2,rfsim5g-end-ue-1,,93.20
2026-09-26 18:25:11,pc2,rfsim5g-end-ue-2,,92.30
2026-09-26 18:25:11,pc2,rfsim5g-end-ue-3,,86.50
2026-09-26 18:25:11,pc2,rfsim5g-end-ue-4,,93.20
2026-09-26 18:25:11,pc2,rfsim5g-end-ue-5,,80.80
2026-09-26 18:25:11,pc2,rfsim5g-end-ue-6,,84.90
2026-09-26 18:25:11,pc2,rfsim5g-end-ue-7,,89.60
2026-09-26 18:25:11,pc2,rfsim5g-end-ue-8,,89.70
2026-09-26 18:25:16,pc2,rfsim5g-end-ue-1,,53.50
2026-09-26 18:25:16,pc2,rfsim5g-end-ue-2,,89.20
2026-09-26 18:25:16,pc2,rfsim5g-end-ue-3,,43.60
2026-09-26 18:25:16,pc2,rfsim5g-end-ue-4,,76.00
2026-09-26 18:25:16,pc2,rfsim5g-end-ue-5,,46.10
2026-09-26 18:25:16,pc2,rfsim5g-end-ue-6,,68.80
2026-09-26 18:25:16,pc2,rfsim5g-end-ue-7,,48.20
2026-09-26 18:25:16,pc2,rfsim5g-end-ue-8,,93.80
2026-09-26 18:25:21,pc2,rfsim5g-end-ue-1,,84.80
2026-09-26 18:25:21,pc2,rfsim5g-end-ue-2,,57.40
2026-09-26 18:25:21,pc2,rfsim5g-end-ue-3,,92.20
2026-09-26 18:25:21,pc2,rfsim5g-end-ue-4,,54.60
2026-09-26 18:25:21,pc2,rfsim5g-end-ue-5,,85.00
2026-09-26 18:25:21,pc2,rfsim5g-end-ue-6,,51.00
2026-09-26 18:25:21,pc2,rfsim5g-end-ue-7,,92.40
2026-09-26 18:25:21,pc2,rfsim5g-end-ue-8,,53.60
2026-09-26 18:25:26,pc2,rfsim5g-end-ue-1,,52.50
2026-09-26 18:25:26,pc2,rfsim5g-end-ue-2,,92.20
2026-09-26 18:25:26,pc2,rfsim5g-end-ue-3,,50.50
2026-09-26 18:25:26,pc2,rfsim5g-end-ue-4,,88.40
2026-09-26 18:25:26,pc2,rfsim5g-end-ue-5,,91.00
2026-09-26 18:25:26,pc2,rfsim5g-end-ue-6,,92.80
2026-09-26 18:25:26,pc2,rfsim5g-end-ue-7,,53.30
2026-09-26 18:25:26,pc2,rfsim5g-end-ue-8,,92.30
2026-09-26 18:25:31,pc2,rfsim5g-end-ue-1,0.00,92.40
2026-09-26 18:25:31,pc2,rfsim5g-end-ue-2,1.05,91.10
2026-09-26 18:25:31,pc2,rfsim5g-end-ue-3,,84.30
2026-09-26 18:25:31,pc2,rfsim5g-end-ue-4,,51.00
2026-09-26 18:25:31,pc2,rfsim5g-end-ue-5,,84.70
2026-09-26 18:25:31,pc2,rfsim5g-end-ue-6,,68.20
2026-09-26 18:25:31,pc2,rfsim5g-end-ue-7,,91.00
2026-09-26 18:25:31,pc2,rfsim5g-end-ue-8,,47.30
2026-09-26 18:25:37,pc2,rfsim5g-end-ue-1,1.05,86.10
2026-09-26 18:25:37,pc2,rfsim5g-end-ue-2,1.05,87.70
2026-09-26 18:25:37,pc2,rfsim5g-end-ue-3,0.00,94.60
2026-09-26 18:25:37,pc2,rfsim5g-end-ue-4,1.05,30.90
2026-09-26 18:25:37,pc2,rfsim5g-end-ue-5,2.10,118.00
2026-09-26 18:25:37,pc2,rfsim5g-end-ue-6,,164.00
2026-09-26 18:25:37,pc2,rfsim5g-end-ue-7,,117.00
2026-09-26 18:25:37,pc2,rfsim5g-end-ue-8,,145.00
2026-09-26 18:25:42,pc2,rfsim5g-end-ue-1,0.00,82.30
2026-09-26 18:25:42,pc2,rfsim5g-end-ue-2,1.05,96.10
2026-09-26 18:25:42,pc2,rfsim5g-end-ue-3,1.05,98.80
2026-09-26 18:25:42,pc2,rfsim5g-end-ue-4,2.10,48.90
2026-09-26 18:25:42,pc2,rfsim5g-end-ue-5,1.05,132.00
2026-09-26 18:25:42,pc2,rfsim5g-end-ue-6,1.05,69.90
2026-09-26 18:25:42,pc2,rfsim5g-end-ue-7,3.15,74.40
2026-09-26 18:25:42,pc2,rfsim5g-end-ue-8,5.24,199.00
2026-09-26 18:25:47,pc2,rfsim5g-end-ue-1,0.00,81.90
2026-09-26 18:25:47,pc2,rfsim5g-end-ue-2,1.05,94.20
2026-09-26 18:25:47,pc2,rfsim5g-end-ue-3,0.00,88.70
2026-09-26 18:25:47,pc2,rfsim5g-end-ue-4,2.10,82.40
2026-09-26 18:25:47,pc2,rfsim5g-end-ue-5,2.10,97.00
2026-09-26 18:25:47,pc2,rfsim5g-end-ue-6,1.05,59.50
2026-09-26 18:25:47,pc2,rfsim5g-end-ue-7,3.15,24.70
2026-09-26 18:25:47,pc2,rfsim5g-end-ue-8,3.14,100.00
2026-09-26 18:25:52,pc2,rfsim5g-end-ue-1,0.00,90.00
2026-09-26 18:25:52,pc2,rfsim5g-end-ue-2,0.00,88.70
2026-09-26 18:25:52,pc2,rfsim5g-end-ue-3,0.00,101.00
2026-09-26 18:25:52,pc2,rfsim5g-end-ue-4,1.05,79.70
2026-09-26 18:25:52,pc2,rfsim5g-end-ue-5,2.10,71.90
2026-09-26 18:25:52,pc2,rfsim5g-end-ue-6,2.10,80.90
2026-09-26 18:25:52,pc2,rfsim5g-end-ue-7,3.14,76.20
2026-09-26 18:25:52,pc2,rfsim5g-end-ue-8,3.15,71.00
2026-09-26 18:25:58,pc2,rfsim5g-end-ue-1,1.05,89.40
2026-09-26 18:25:58,pc2,rfsim5g-end-ue-2,1.05,88.70
2026-09-26 18:25:58,pc2,rfsim5g-end-ue-3,0.00,91.00
2026-09-26 18:25:58,pc2,rfsim5g-end-ue-4,2.10,23.40
2026-09-26 18:25:58,pc2,rfsim5g-end-ue-5,2.11,70.90
2026-09-26 18:25:58,pc2,rfsim5g-end-ue-6,2.10,57.60
2026-09-26 18:25:58,pc2,rfsim5g-end-ue-7,3.15,57.50
2026-09-26 18:25:58,pc2,rfsim5g-end-ue-8,4.19,57.50
2026-09-26 18:26:03,pc2,rfsim5g-end-ue-1,0.00,93.10
2026-09-26 18:26:03,pc2,rfsim5g-end-ue-2,1.05,93.70
2026-09-26 18:26:03,pc2,rfsim5g-end-ue-3,1.05,106.00
2026-09-26 18:26:03,pc2,rfsim5g-end-ue-4,1.05,58.20
2026-09-26 18:26:03,pc2,rfsim5g-end-ue-5,1.05,81.60
2026-09-26 18:26:03,pc2,rfsim5g-end-ue-6,1.05,74.80
2026-09-26 18:26:03,pc2,rfsim5g-end-ue-7,3.15,91.10
2026-09-26 18:26:03,pc2,rfsim5g-end-ue-8,3.15,83.80
2026-09-26 18:26:08,pc2,rfsim5g-end-ue-1,0.00,29.20
2026-09-26 18:26:08,pc2,rfsim5g-end-ue-2,1.05,103.00
2026-09-26 18:26:08,pc2,rfsim5g-end-ue-3,0.00,110.00
2026-09-26 18:26:08,pc2,rfsim5g-end-ue-4,2.10,96.60
2026-09-26 18:26:08,pc2,rfsim5g-end-ue-5,2.10,64.90
2026-09-26 18:26:08,pc2,rfsim5g-end-ue-6,2.10,57.90
2026-09-26 18:26:08,pc2,rfsim5g-end-ue-7,4.20,55.10
2026-09-26 18:26:08,pc2,rfsim5g-end-ue-8,3.15,36.40
2026-09-26 18:26:13,pc2,rfsim5g-end-ue-1,0.00,76.20
2026-09-26 18:26:13,pc2,rfsim5g-end-ue-2,1.05,91.20
2026-09-26 18:26:13,pc2,rfsim5g-end-ue-3,0.00,82.20
2026-09-26 18:26:13,pc2,rfsim5g-end-ue-4,1.05,74.80
2026-09-26 18:26:13,pc2,rfsim5g-end-ue-5,1.05,87.60
2026-09-26 18:26:13,pc2,rfsim5g-end-ue-6,1.05,105.00
2026-09-26 18:26:13,pc2,rfsim5g-end-ue-7,3.14,82.10
2026-09-26 18:26:13,pc2,rfsim5g-end-ue-8,3.15,33.50
2026-09-26 18:26:18,pc2,rfsim5g-end-ue-1,0.00,65.30
2026-09-26 18:26:18,pc2,rfsim5g-end-ue-2,0.00,48.20
2026-09-26 18:26:18,pc2,rfsim5g-end-ue-3,0.00,84.20
2026-09-26 18:26:18,pc2,rfsim5g-end-ue-4,2.10,68.90
2026-09-26 18:26:18,pc2,rfsim5g-end-ue-5,1.05,33.80
2026-09-26 18:26:18,pc2,rfsim5g-end-ue-6,2.10,65.00
2026-09-26 18:26:18,pc2,rfsim5g-end-ue-7,3.14,62.50
2026-09-26 18:26:18,pc2,rfsim5g-end-ue-8,3.14,58.60
2026-09-26 18:26:23,pc2,rfsim5g-end-ue-1,0.00,92.90
2026-09-26 18:26:23,pc2,rfsim5g-end-ue-2,1.05,92.80
2026-09-26 18:26:23,pc2,rfsim5g-end-ue-3,0.00,88.40
