timestamp,host,ue_container,achieved_mbps,rtt_ms
2026-09-26 17:50:57,pc2,rfsim5g-end-ue-1,,62.90
2026-09-26 17:50:57,pc2,rfsim5g-end-ue-2,,91.00
2026-09-26 17:50:57,pc2,rfsim5g-end-ue-3,,91.80
2026-09-26 17:50:57,pc2,rfsim5g-end-ue-4,,90.00
2026-09-26 17:50:57,pc2,rfsim5g-end-ue-5,,86.40
2026-09-26 17:50:57,pc2,rfsim5g-end-ue-6,,61.20
2026-09-26 17:50:57,pc2,rfsim5g-end-ue-7,,94.80
2026-09-26 17:50:57,pc2,rfsim5g-end-ue-8,,90.70
2026-09-26 17:51:02,pc2,rfsim5g-end-ue-1,,85.10
2026-09-26 17:51:02,pc2,rfsim5g-end-ue-2,,60.00
2026-09-26 17:51:02,pc2,rfsim5g-end-ue-3,,61.60
2026-09-26 17:51:02,pc2,rfsim5g-end-ue-4,,85.90
2026-09-26 17:51:02,pc2,rfsim5g-end-ue-5,,61.80
2026-09-26 17:51:02,pc2,rfsim5g-end-ue-6,,84.50
2026-09-26 17:51:02,pc2,rfsim5g-end-ue-7,,64.80
2026-09-26 17:51:02,pc2,rfsim5g-end-ue-8,,88.10
2026-09-26 17:51:07,pc2,rfsim5g-end-ue-1,,64.40
2026-09-26 17:51:07,pc2,rfsim5g-end-ue-2,,86.30
2026-09-26 17:51:07,pc2,rfsim5g-end-ue-3,,89.70
2026-09-26 17:51:07,pc2,rfsim5g-end-ue-4,,67.60
2026-09-26 17:51:07,pc2,rfsim5g-end-ue-5,,91.50
2026-09-26 17:51:07,pc2,rfsim5g-end-ue-6,,62.20
2026-09-26 17:51:07,pc2,rfsim5g-end-ue-7,,47.60
2026-09-26 17:51:07,pc2,rfsim5g-end-ue-8,,66.00
2026-09-26 17:51:12,pc2,rfsim5g-end-ue-1,,45.40
2026-09-26 17:51:12,pc2,rfsim5g-end-ue-2,,68.00
2026-09-26 17:51:12,pc2,rfsim5g-end-ue-3,,70.70
2026-09-26 17:51:12,pc2,rfsim5g-end-ue-4,,92.40
2026-09-26 17:51:12,pc2,rfsim5g-end-ue-5,,68.30
2026-09-26 17:51:12,pc2,rfsim5g-end-ue-6,,43.10
2026-09-26 17:51:12,pc2,rfsim5g-end-ue-7,,87.90
2026-09-26 17:51:12,pc2,rfsim5g-end-ue-8,,44.50
2026-09-26 17:51:17,pc2,rfsim5g-end-ue-1,0.40,89.40
2026-09-26 17:51:17,pc2,rfsim5g-end-ue-2,0.40,51.10
2026-09-26 17:51:17,pc2,rfsim5g-end-ue-3,0.41,56.20
2026-09-26 17:51:17,pc2,rfsim5g-end-ue-4,,20.80
2026-09-26 17:51:17,pc2,rfsim5g-end-ue-5,,92.00
2026-09-26 17:51:17,pc2,rfsim5g-end-ue-6,,92.30
2026-09-26 17:51:17,pc2,rfsim5g-end-ue-7,,46.90
2026-09-26 17:51:17,pc2,rfsim5g-end-ue-8,,91.50
2026-09-26 17:51:22,pc2,rfsim5g-end-ue-1,0.40,66.40
2026-09-26 17:51:22,pc2,rfsim5g-end-ue-2,0.40,39.80
